as_of_date,race_id,horse_id,target,date,racecourse,surface,distance,class_code,grade_code,condition_code,race_class_label,race_class_score,race_sex_condition,race_age_condition,is_filly_mare_only,is_2yo_only,is_3yo_only,race_first_prize,race_second_prize,race_third_prize,race_total_top5_prize,race_first_prize_log,race_total_top5_prize_log,first_corner_position,race_position_bias,course_first_corner_distance_m,course_elevation_difference_m,course_final_straight_m,course_start_uphill,course_start_downhill,course_final_uphill,course_final_downhill,course_final_steep_hill,course_rolling_terrain,course_mostly_flat,course_gentle_corners,course_tight_corners,course_up_down_transition_sentence_count,course_geometry_fit,horse_expected_position,position_stability,frontness_mean,frontness_std,gate_position_pct,gate_x_expected_position,front_density,forward_density,mid_density,rear_density,expected_front_count,expected_position_mean,expected_position_std,popularity,odds,actual_rank,umaban,horse_name,field_size,career_races,career_wins,career_win_rate,career_places,career_place_rate,recent3_win_rate,recent3_place_rate,recent5_win_rate,recent5_place_rate,races_last_180d,races_last_365d,last1_finish,last2_finish,last3_finish,last1_margin,last2_margin,last3_margin,best_margin_last3,mean_margin_last3,weighted_margin_last3,last1_winner_strength,last2_winner_strength,last3_winner_strength,last1_field_strength,last2_field_strength,last3_field_strength,margin_x_winner_strength,margin_x_field_strength,last1_distance,last2_distance,last3_distance,last1_class,last2_class,last3_class,current_distance,last1_winner_strength_v2,last2_winner_strength_v2,last3_winner_strength_v2,last1_field_strength_v2,last2_field_strength_v2,last3_field_strength_v2,last1_margin_x_winner_strength_v2,last2_margin_x_winner_strength_v2,last3_margin_x_winner_strength_v2,max_winner_strength_last3,mean_winner_strength_last3,weighted_winner_strength_last3,best_strong_opponent_performance_last3,last1_field_max_strength_v2,last2_field_max_strength_v2,last3_field_max_strength_v2,last1_field_top3_mean_strength_v2,last2_field_top3_mean_strength_v2,last3_field_top3_mean_strength_v2,opponent_history_missing_last3,last1_winner_max_prize_before_target,last2_winner_max_prize_before_target,last3_winner_max_prize_before_target,last1_winner_mean_prize_before_target,last2_winner_mean_prize_before_target,last3_winner_mean_prize_before_target,last1_winner_max_race_class_before_target,last2_winner_max_race_class_before_target,last3_winner_max_race_class_before_target,last1_winner_best_win_class_before_target,last2_winner_best_win_class_before_target,last3_winner_best_win_class_before_target,last1_raw_performance,last2_raw_performance,last3_raw_performance,last1_adjusted_performance,last2_adjusted_performance,last3_adjusted_performance,last1_position_advantage,last2_position_advantage,last3_position_advantage,last1_race_position_bias,last2_race_position_bias,last3_race_position_bias,best_adjusted_performance_last3,mean_adjusted_performance_last3,weighted_adjusted_performance_last3,hidden_strength_last1,hidden_strength_last2,hidden_strength_last3,max_hidden_strength_last3,max_strong_against_bias_last3,strong_against_bias_last1,strong_against_bias_last2,strong_against_bias_last3,race_position_bias_last1,race_position_bias_last2,race_position_bias_last3,setup_improvement,hidden_strength_x_race_strength,last1_race_first_prize,last2_race_first_prize,last3_race_first_prize,last1_race_first_prize_log,last2_race_first_prize_log,last3_race_first_prize_log,max_race_prize_last3,mean_race_prize_last3,weighted_race_prize_last3,prize_change_from_last1,prize_change_from_last3_mean,prize_ratio_vs_last1,prize_ratio_vs_last3_mean,last1_margin_x_prize_strength,last2_margin_x_prize_strength,last3_margin_x_prize_strength,current_race_class_score,last1_race_class_score,last2_race_class_score,last3_race_class_score,max_race_class_last3,mean_race_class_last3,weighted_race_class_last3,last1_margin_x_race_class,last2_margin_x_race_class,last3_margin_x_race_class,last1_race_class,last2_race_class,last3_race_class,last1_sex_condition,last2_sex_condition,last3_sex_condition,last1_age_condition,last2_age_condition,last3_age_condition,last1_is_filly_mare_only,last2_is_filly_mare_only,last3_is_filly_mare_only,race_class_change,female_only_to_open,open_to_female_only,age_condition_change,predicted_probability,prediction_rank,race_number,win_payout,place_payout,is_win,is_place,ai_vs_favorite,reason_code,prediction_reason
2026-07-04,2026-0704-02-01-07-07,2023100997,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.5710424184799194,0.5,0.0,0.5,0.0,0.30000001192092896,0.15000000596046448,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,1,19.0,2,3,デルマリシリ,10,5,1,0.20000000298023224,5,1.0,0.0,1.0,0.20000000298023224,1.0,4,5,2,2,2,3.0,0.0,0.0,0.0,1.0,1.5,0.125,0.20000000298023224,0.1666666716337204,0.14801587164402008,0.20359788835048676,0.2844444513320923,0.375,0.44404762983322144,1200,1200,1200,grade:E|condition:13,grade:unknown|condition:12,grade:E|condition:12,1200,0.2849999964237213,0.3400000035762787,0.35285714268684387,0.18108893930912018,0.19483478367328644,0.1870703399181366,0.8550000190734863,0.0,0.0,0.35285714268684387,0.3259523808956146,0.3150714337825775,0.35285714268684387,0.2849999964237213,0.3400000035762787,0.35285714268684387,0.26807692646980286,0.28333333134651184,0.29004329442977905,0,21000000.0,52000000.0,41000000.0,8744444.0,20128572.0,12166667.0,5,7,6,0,6,0,0.5710424184799194,0.9706250429153442,0.9513801336288452,0.5710424184799194,0.9706250429153442,0.9513801336288452,0.0,0.0,0.0,0.0,0.0,0.0,0.9706250429153442,0.8310158848762512,0.766984760761261,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,11400000.0,8200000.0,11400000.0,16.24912452697754,15.919645309448242,16.24912452697754,11400000.0,10333333.0,10440000.0,-3200000.0,-2133333.25,0.719298243522644,0.7935484051704407,48.747371673583984,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.4412515875743663,1,7,0.0,110.0,0,1,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023103528,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.7071517705917358,0.5,0.0,0.5,0.0,0.10000000149011612,0.05000000074505806,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,2,37.0,4,1,ツルノマイハシ,10,8,1,0.125,3,0.375,0.3333333432674408,0.6666666865348816,0.20000000298023224,0.6000000238418579,3,8,2,7,1,1.0,3.0,0.0,0.0,1.3333333730697632,1.399999976158142,0.25,0.1666666716337204,0.0,0.1476615071296692,0.18432539701461792,0.0,0.25,0.1476615071296692,1200,1200,1200,grade:unknown|condition:13,grade:E|condition:12,grade:unknown|condition:12,1200,0.2849999964237213,0.29076921939849854,0.19384615123271942,0.1850576400756836,0.181404709815979,0.09764816612005234,0.2849999964237213,0.8723077178001404,0.0,0.29076921939849854,0.256538450717926,0.2685000002384186,0.19384615123271942,0.2849999964237213,0.29076921939849854,0.19384615123271942,0.2638888955116272,0.2752564251422882,0.14044871926307678,0,11400000.0,41000000.0,11400000.0,9140000.0,13125000.0,7612500.0,0,6,0,0,0,0,0.7071517705917358,0.4311240017414093,0.9559046030044556,0.7071517705917358,0.4311240017414093,0.9559046030044556,0.0,0.0,0.0,0.0,0.0,0.0,0.9559046030044556,0.698060154914856,0.674094021320343,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8200000.0,11400000.0,5900000.0,15.919645309448242,16.24912452697754,15.590462684631348,11400000.0,8500000.0,8700000.0,0.0,-300000.0,1.0,0.9647058844566345,15.919645309448242,48.747371673583984,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.27895641443112706,2,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023105035,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.5220901966094971,0.5,0.0,0.5,0.0,0.699999988079071,0.3499999940395355,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,3,38.0,8,7,メイショウハッケイ,10,8,1,0.125,5,0.625,0.0,0.3333333432674408,0.0,0.4000000059604645,3,8,3,7,6,4.0,9.0,6.0,4.0,6.333333492279053,5.900000095367432,0.125,0.3333333432674408,0.25,0.14801587164402008,0.38229167461395264,0.32424241304397583,0.5,0.5920634865760803,1200,1600,1600,grade:E|condition:13,grade:L|condition:12,grade:E|condition:12,1200,0.2849999964237213,0.2549999952316284,0.29750001430511475,0.18108893930912018,0.17119050025939941,0.2016913890838623,1.1399999856948853,2.2950000762939453,1.784999966621399,0.29750001430511475,0.27916666865348816,0.2784999907016754,-3.7149999141693115,0.2849999964237213,0.2549999952316284,0.29750001430511475,0.26807692646980286,0.23807692527770996,0.262521356344223,0,21000000.0,140000000.0,140000000.0,8744444.0,43020000.0,32528572.0,5,8,8,0,5,0,0.5220901966094971,0.44004935026168823,0.4009914994239807,0.5220901966094971,0.44004935026168823,0.4009914994239807,0.0,0.0,0.0,0.0,0.0,0.0,0.5220901966094971,0.45437702536582947,0.47325822710990906,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,11400000.0,21000000.0,11400000.0,16.24912452697754,16.86003303527832,16.24912452697754,21000000.0,14600000.0,14280000.0,-3200000.0,-6400000.0,0.719298243522644,0.5616438388824463,64.99649810791016,151.74029541015625,97.49474334716797,0,0,5,0,5,1.6666666269302368,1.5,0.0,45.0,0.0,UNKNOWN,LISTED,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.23288995127458056,3,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2022105162,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.8999999761581421,0.44999998807907104,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,5,193.0,5,9,ルージュナリッシュ,10,12,1,0.0833333358168602,3,0.25,0.0,0.0,0.0,0.0,4,8,6,10,7,6.0,6.0,5.0,5.0,5.666666507720947,5.800000190734863,0.1666666716337204,0.20000000298023224,0.09090909361839294,0.08014257252216339,0.08760301023721695,0.09644303470849991,1.0,0.48085543513298035,1400,1200,1400,grade:unknown|condition:14,grade:E|condition:14,grade:unknown|condition:14,1200,0.20769231021404266,0.3400000035762787,0.3100000023841858,0.14181813597679138,0.1724662333726883,0.15218500792980194,1.2461538314819336,2.0399999618530273,1.5499999523162842,0.3400000035762787,0.285897433757782,0.26784616708755493,-4.690000057220459,0.20769231021404266,0.3400000035762787,0.3100000023841858,0.18942400813102722,0.2849999964237213,0.24607843160629272,0,20000000.0,15800000.0,41000000.0,10712500.0,9400000.0,11240000.0,5,0,6,0,0,0,0.4601879417896271,0.360991507768631,0.4388969838619232,0.4601879417896271,0.360991507768631,0.4388969838619232,0.0,0.0,0.0,0.0,0.0,0.0,0.4601879417896271,0.42002546787261963,0.42617082595825195,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8200000.0,11400000.0,8200000.0,15.919645309448242,16.24912452697754,15.919645309448242,11400000.0,9266667.0,9160000.0,0.0,-1066666.625,1.0,0.8848921060562134,95.51786804199219,97.49474334716797,79.59822082519531,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.09769686911940649,4,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023101143,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.5,0.25,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,6,246.0,3,5,ライトニングロッド,10,4,1,0.25,1,0.25,0.3333333432674408,0.3333333432674408,0.25,0.25,3,4,1,9,4,0.0,14.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,1200,1200,grade:unknown|condition:12,grade:unknown|condition:12,grade:unknown|condition:12,1200,0.15555556118488312,0.16249999403953552,0.13846154510974884,0.1047530397772789,0.11112146824598312,0.11033280193805695,0.0,2.2750000953674316,0.5538461804389954,0.16249999403953552,0.15217237174510956,0.1542200893163681,0.15555556118488312,0.1733333319425583,0.19384615123271942,0.23071429133415222,0.15629629790782928,0.180170938372612,0.18693843483924866,0,7500000.0,7500000.0,8200000.0,6275000.0,6433333.5,6200000.0,0,0,0,0,0,0,0.9557336568832397,0.3425716161727905,0.4832308888435364,0.9557336568832397,0.3425716161727905,0.4832308888435364,0.0,0.0,0.0,0.0,0.0,0.0,0.9557336568832397,0.5938454270362854,0.6772845387458801,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,5800000.0,5900000.0,5900000.0,15.573369026184082,15.590462684631348,15.590462684631348,5900000.0,5866666.5,5850000.0,2400000.0,2333333.25,1.4137930870056152,1.3977272510528564,0.0,218.2664794921875,62.36185073852539,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.08707162715454408,5,7,0.0,350.0,0,1,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2021102312,1,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.4952249526977539,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,4,126.0,1,10,ストレイトアスク,10,16,1,0.0625,4,0.25,0.0,0.0,0.0,0.20000000298023224,2,7,4,14,7,5.0,12.0,3.0,3.0,6.666666507720947,6.699999809265137,0.1666666716337204,0.1666666716337204,0.25,0.15297818183898926,0.08014257252216339,0.08289660513401031,0.8333333134651184,0.7648909091949463,1200,1400,1600,grade:unknown|condition:13,grade:unknown|condition:14,grade:unknown|condition:13,1200,0.2408333271741867,0.20769231021404266,0.27636364102363586,0.16767682135105133,0.14181813597679138,0.15407854318618774,1.2041666507720947,2.492307662963867,0.8290908932685852,0.27636364102363586,0.24162976443767548,0.23799708485603333,-2.7236363887786865,0.2408333271741867,0.20769231021404266,0.27636364102363586,0.22452020645141602,0.18942400813102722,0.22942279279232025,0,38000000.0,20000000.0,15800000.0,12771429.0,10712500.0,7966666.5,6,5,0,0,0,0,0.4952249526977539,0.2458655685186386,0.45991483330726624,0.4952249526977539,0.2458655685186386,0.45991483330726624,0.0,0.0,0.0,0.0,0.0,0.0,0.4952249526977539,0.4003351330757141,0.41335511207580566,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8200000.0,8200000.0,8000000.0,15.919645309448242,15.919645309448242,15.894951820373535,8200000.0,8133333.5,8160000.0,0.0,66666.6640625,1.0,1.0081967115402222,79.59822082519531,191.03573608398438,47.68485641479492,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.07329302366049573,6,7,1260.0,190.0,1,1,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023105199,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.34253454208374023,0.5,0.0,0.5,0.0,0.20000000298023224,0.10000000149011612,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,8,1120.0,9,2,キミノナハオリョウ,10,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,4,9,7,13,8.0,11.0,14.0,8.0,11.0,10.100000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,1200,1600,grade:unknown|condition:12,grade:unknown|condition:12,grade:unknown|condition:11,1200,0.18666666746139526,0.39666667580604553,0.15555556118488312,0.10344770550727844,0.11087792366743088,0.12025794386863708,1.493333339691162,4.363333225250244,2.1777777671813965,0.39666667580604553,0.24629630148410797,0.24344444274902344,-7.813333511352539,0.20357142388820648,0.39666667580604553,0.290909081697464,0.18341270089149475,0.2405555546283722,0.23869463801383972,0,7500000.0,15800000.0,41000000.0,6200000.0,8571429.0,16375000.0,0,0,6,0,0,0,0.34253454208374023,0.4147348403930664,0.273030161857605,0.34253454208374023,0.4147348403930664,0.273030161857605,0.0,0.0,0.0,0.0,0.0,0.0,0.4147348403930664,0.3434331715106964,0.35029375553131104,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,5800000.0,5900000.0,5600000.0,15.573369026184082,15.590462684631348,15.538277626037598,5900000.0,5766666.5,5790000.0,2400000.0,2433333.25,1.4137930870056152,1.4219653606414795,124.58695220947266,171.49508666992188,217.535888671875,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.02990703742024428,7,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023106912,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.2400009036064148,0.5,0.0,0.5,0.0,0.800000011920929,0.4000000059604645,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,9,2003.0,10,8,ジュジュドール,10,6,1,0.1666666716337204,1,0.1666666716337204,0.0,0.0,0.0,0.0,3,6,10,13,8,13.0,22.0,7.0,7.0,14.0,14.5,0.25,0.1666666716337204,0.25,0.1476615071296692,0.24619047343730927,0.31805557012557983,3.25,1.9195996522903442,1200,1200,1200,grade:unknown|condition:13,grade:E|condition:12,grade:E|condition:12,1200,0.2849999964237213,0.2933333218097687,0.20769231021404266,0.1850576400756836,0.1850154846906662,0.19819645583629608,3.7049999237060547,6.453333377838135,1.4538460969924927,0.2933333218097687,0.26200854778289795,0.27203845977783203,-6.7923078536987305,0.2849999964237213,0.2933333218097687,0.35285714268684387,0.2638888955116272,0.2797008454799652,0.31231990456581116,0,11400000.0,52000000.0,52000000.0,9140000.0,18780000.0,20737500.0,0,7,7,0,0,0,0.2400009036064148,0.2529674172401428,0.34581929445266724,0.2400009036064148,0.2529674172401428,0.34581929445266724,0.0,0.0,0.0,0.0,0.0,0.0,0.34581929445266724,0.27959588170051575,0.2650545537471771,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8200000.0,11400000.0,11400000.0,15.919645309448242,16.24912452697754,16.24912452697754,11400000.0,10333333.0,9800000.0,0.0,-2133333.25,1.0,0.7935484051704407,206.95538330078125,357.480712890625,113.74386596679688,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.028381726298306414,8,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2021105715,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.2000001221895218,0.5,0.0,0.5,0.0,0.6000000238418579,0.30000001192092896,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,7,878.0,6,6,アルバニー,10,11,1,0.09090909361839294,2,0.1818181872367859,0.0,0.3333333432674408,0.0,0.20000000298023224,4,6,11,3,15,15.0,9.0,19.0,9.0,14.333333015441895,14.0,0.25,0.0833333358168602,0.1111111119389534,0.1476615071296692,0.06360946595668793,0.06264732033014297,3.75,2.2149226665496826,1200,1200,1200,grade:unknown|condition:13,grade:unknown|condition:14,grade:unknown|condition:14,1200,0.2849999964237213,0.21111111342906952,0.24705882370471954,0.1850576400756836,0.13776031136512756,0.15480415523052216,4.275000095367432,1.899999976158142,4.694117546081543,0.2849999964237213,0.2477233111858368,0.2552450895309448,-8.788888931274414,0.2849999964237213,0.2133333384990692,0.24705882370471954,0.2638888955116272,0.21206972002983093,0.23187674582004547,0,11400000.0,8200000.0,15800000.0,9140000.0,7269231.0,8608333.0,0,0,0,0,0,0,0.2000001221895218,0.5092458128929138,0.18141867220401764,0.2000001221895218,0.5092458128929138,0.18141867220401764,0.0,0.0,0.0,0.0,0.0,0.0,0.5092458128929138,0.29688820242881775,0.28905755281448364,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8200000.0,8200000.0,8200000.0,15.919645309448242,15.919645309448242,15.919645309448242,8200000.0,8200000.0,8200000.0,0.0,0.0,1.0,1.0,238.794677734375,143.2768096923828,302.4732666015625,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.020856453689221337,9,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
2026-07-04,2026-0704-02-01-07-07,2023109031,0,2026-07-04,函館,芝,1200,grade:unknown|condition:13,unknown,13,UNKNOWN,0,OPEN_SEX,UNKNOWN,0,0,0,8200000.0,3300000.0,2100000.0,15620000.0,15.919645309448242,16.564062118530273,0,0.0,490.0,3.5,262.1000061035156,1,0,0,1,0,1,0,1,0,0,0.0,0.3799999952316284,0.19390720129013062,0.3799999952316284,0.19390720129013062,0.4000000059604645,0.15199999511241913,0.0,0.8999999761581421,1.0,0.0,0,0.4880000054836273,0.035999998450279236,10,2303.0,7,4,ココソラーレ,10,12,0,0.0,1,0.0833333358168602,0.0,0.0,0.0,0.0,5,12,16,9,9,13.0,20.0,9.0,9.0,14.0,14.300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800,1200,2000,grade:unknown|condition:12,grade:unknown|condition:12,grade:unknown|condition:12,1200,0.18000000715255737,0.18666666746139526,0.3258333206176758,0.11763366311788559,0.0963447168469429,0.10934456437826157,2.3399999141693115,3.7333333492279053,2.932499885559082,0.3258333206176758,0.23083333671092987,0.21116666495800018,-8.674166679382324,0.2549999952316284,0.18666666746139526,0.3258333206176758,0.1969444453716278,0.1415330022573471,0.2152777761220932,0,8200000.0,8200000.0,21000000.0,6660000.0,6625000.0,9028571.0,0,0,5,0,0,0,0.155734583735466,0.28923797607421875,0.3426206707954407,0.19071723520755768,0.28923797607421875,0.3549542725086212,-0.5416666865348816,0.0,-0.12916666269302368,0.25833332538604736,0.0,0.3819444477558136,0.3549542725086212,0.2783031463623047,0.25312086939811707,0.03498264029622078,0.0,0.012333623133599758,0.03498264029622078,0.13993056118488312,0.13993056118488312,-0.0,0.04933449253439903,0.25833332538604736,0.0,0.3819444477558136,0.5416666865348816,0.03414243459701538,5800000.0,5900000.0,5900000.0,15.573369026184082,15.590462684631348,15.590462684631348,5900000.0,5866666.5,5850000.0,2400000.0,2333333.25,1.4137930870056152,1.3977272510528564,202.45379638671875,311.80926513671875,140.3141632080078,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,OPEN_SEX,OPEN_SEX,OPEN_SEX,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0.014393907787747757,10,7,0.0,0.0,0,0,0,V1_LIGHTGBM,LightGBM CA:近走着差・勝ち馬強度・フィールド強度・基礎能力
